id,debut,fin,nom,parti
1,1896,1911,Wilfrid Laurier,Libéral
2,1911,1917,Robert Laird Borden,Conservateur
3,1917,1920,Robert Laird Borden,Unioniste
4,1920,1921,Arthur Meighen,Unioniste
5,1921,1926,William Lyon,Libéral
6,1926,1926,Arthur Meighen,Conservateur
7,1926,1930,Williams Lyon,Libéral
8,1930,1935,Richard Bedford,Conservateur
9,1935,1948,William Lyon,Libéral
10,1948,1957,Louis Stephen Saint-Laurent,Libéral
11,1957,1963,John George Diefenbaker,Conservateur
12,1963,1968,Lester Bowles Pearson,Libéral
13,1968,1979,Pierre Elliott Trudea,Libéral
14,1979,1980,Charles Joseph Clark,Conservateur
15,1980,1984,Pierre Elliott Trudeau,Libéral
16,1984,1984,John Napier Turner,Libéral
17,1984,1993,Martin Brian Mulroney,Conservateur
18,1993,1993,Kim Campbell,Conservateur
19,1993,2003,Jean Chrétien,Libéral
20,2003,2006,Paul Martin,Libéral
21,2006,2015,Stephen Harper,Conservateur
22,2015,Inf,Justin Trudeau,Libéral
